file	percent	reads	taxon_id	taxon_name
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002924	1111	4892	Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002848	1082	2887327	Bacteria;Pseudomonadota;Gammaproteobacteria;Kangiellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002816	1070	278081	Bacteria;Lentisphaerota;Lentisphaeria;Lentisphaerales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002690	1022	2301	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002622	996	135615	Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002609	991	225057	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002587	983	94695	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002553	970	693921	Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002435	925	85008	Bacteria;Actinomycetota;Actinomycetes;Micromonosporales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002401	912	795748	Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002366	899	73020	Eukaryota;Haptophyta;NA;Isochrysidales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002290	870	909929	Bacteria;Bacillota;Negativicutes;Selenomonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002285	868	53433	Bacteria;Bacillota;Clostridia;Halanaerobiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002253	856	32069	Bacteria;Aquificota;Aquificae;Aquificales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002240	851	265576	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002198	835	4827	Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002164	822	3031668	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.002137	812	33851	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001993	757	2790996	Bacteria;Mycoplasmatota;NA;Mycoplasmoidales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001853	704	2493627	Bacteria;Pseudomonadota;Alphaproteobacteria;Minwuiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001848	702	1240482	Bacteria;Pseudomonadota;Gammaproteobacteria;Orbales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001719	653	219686	Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001661	631	3042	Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001650	627	186329	Bacteria;Mycoplasmatota;Mollicutes;Acholeplasmatales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001643	624	1118	Bacteria;Cyanobacteriota;Cyanophyceae;Chroococcales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001553	590	191393	Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001542	586	5042	Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001542	586	1963360	Bacteria;Chlamydiota;Chlamydiia;Parachlamydiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001492	567	526525	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001487	565	1191478	Bacteria;Pseudomonadota;Alphaproteobacteria;Magnetococcales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001482	563	119069	Bacteria;Pseudomonadota;Hydrogenophilia;Hydrogenophilales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001477	561	292629	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.001474	560	742030	Bacteria;Pseudomonadota;Gammaproteobacteria;Salinisphaerales;NA;NA;NA;
