Experiment	Treatment	Bottle	Time(hours)	Enzyme	Measurement	stdev
B	C	SC1	144	OLE	260,7647899	47,2695196
B	C	SC2	144	OLE	81,70009516	6,924615653
B	C	SC3	144	OLE	67,7098326	7,183331339
B	J	SJ1	144	OLE	135,9820553	14,09157116
B	J	SJ2	144	OLE	104,1795398	11,6254099
B	J	SJ3	144	OLE	62,95375743	2,277488905
A	C	C1	0	APA	43,54764889	6,932737095
A	C	C2	0	APA	29,26650232	2,462851607
A	C	C3	0	APA	39,73142866	5,224867015
A	J	J1	0	APA	1,390071172	0,370843742
A	J	J2	0	APA	1,320999312	0,256261704
A	J	J3	0	APA	1,815294806	0,251304885
A	C	C1	9	APA	54,68299566	11,41752317
A	C	C2	9	APA	57,47841351	6,113669999
A	C	C3	9	APA	57,85299551	8,047907969
A	J	J1	9	APA	1,374795664	0,164905199
A	J	J2	9	APA	1,000213657	0,155232771
A	J	J3	9	APA	1,748381442	0,071608453
A	C	C1	24	APA	699,4886761	49,02051944
A	C	C2	24	APA	236,8394451	52,73223866
A	C	C3	24	APA	169,3903403	9,298190925
A	J	J1	24	APA	9,250051198	0,757721318
A	J	J2	24	APA	2,3125128	0,260773911
A	J	J3	24	APA	14,97999835	0,458436505
A	C	C1	43	APA	1036,084117	26,91347096
A	C	C2	43	APA	1566,520194	75,72481836
A	C	C3	43	APA	1534,430253	58,82472827
A	J	J1	43	APA	49,61101467	3,717482588
A	J	J2	43	APA	260,9120123	3,316402417
A	J	J3	43	APA	100,8990214	3,022760919
A	C	C1	67	APA	732,2107785	38,69839554
A	C	C2	67	APA	1211,648254	55,19371978
A	C	C3	67	APA	1192,428123	31,43062265
A	J	J1	67	APA	114,1597188	1,863671535
A	J	J2	67	APA	364,2238647	4,752427968
A	J	J3	67	APA	160,6321855	1,411470013
B	C	SC1	0	APA	213,5319648	7,458834103
B	C	SC2	0	APA	47,55819885	2,343978623
B	C	SC3	0	APA	61,95199907	1,669291196
B	J	SJ1	0	APA	127,6449915	1,35672191
B	J	SJ2	0	APA	29,28291289	1,029636473
B	J	SJ3	0	APA	26,10491439	1,036446872
B	C	SC1	24	APA	636,9686428	10,29873704
B	C	SC2	24	APA	57,29990564	1,944814187
B	C	SC3	24	APA	182,610772	7,597094692
B	J	SJ1	24	APA	80,96526125	2,479496416
B	J	SJ2	24	APA	28,96082777	1,884547777
